rfc,legal_name,registered_date,address,bank_clabe,category,contact_email
YMX951010BTX,Servicios Insumos 00001101-004 SA de CV,2024-05-15,"Av. Industria 104, Monterrey, Nuevo Leon",646180000110493836,Insumos,contacto00001101-004@proveedor.example.mx
YNJ771010BZX,Servicios Mantenimiento 00001101-016 SA de CV,2021-08-15,"Av. Industria 116, Monterrey, Nuevo Leon",646180000111444114,Mantenimiento,contacto00001101-016@proveedor.example.mx
YNN811010CBX,Servicios Tecnologia 00001101-020 SA de CV,2020-03-15,"Av. Industria 120, Monterrey, Nuevo Leon",646180000111760872,Tecnologia,contacto00001101-020@proveedor.example.mx
YON770424COX,Servicios Mantenimiento 00001101-046 SA de CV,2021-02-15,"Av. Industria 146, Monterrey, Nuevo Leon",646180000113819815,Mantenimiento,contacto00001101-046@proveedor.example.mx
YNL790424CAX,Servicios Logistica 00001101-018 SA de CV,2023-01-15,"Av. Industria 118, Monterrey, Nuevo Leon",646180000111602493,Logistica,contacto00001101-018@proveedor.example.mx
YNQ840703CDK,Servicios Logistica 00001101-023 SA de CV,2023-06-15,"Av. Industria 123, Monterrey, Nuevo Leon",646180000111998440,Logistica,contacto00001101-023@proveedor.example.mx
YNH750424BYX,Servicios Insumos 00001101-014 SA de CV,2024-06-15,"Av. Industria 114, Monterrey, Nuevo Leon",646180000111285739,Insumos,contacto00001101-014@proveedor.example.mx
YNS860117CEK,Servicios Tecnologia 00001101-025 SA de CV,2020-08-15,"Av. Industria 125, Monterrey, Nuevo Leon",646180000112156825,Tecnologia,contacto00001101-025@proveedor.example.mx
YNU880703CFK,Servicios Consultoria 00001101-027 SA de CV,2022-01-15,"Av. Industria 127, Monterrey, Nuevo Leon",646180000112315200,Consultoria,contacto00001101-027@proveedor.example.mx
YNC700117BWK,Servicios Insumos 00001101-009 SA de CV,2024-01-15,"Av. Industria 109, Monterrey, Nuevo Leon",646180000110889783,Insumos,contacto00001101-009@proveedor.example.mx
YOA940117CIK,Servicios Logistica 00001101-033 SA de CV,2023-07-15,"Av. Industria 133, Monterrey, Nuevo Leon",646180000112790346,Logistica,contacto00001101-033@proveedor.example.mx
YOD971010CJX,Servicios Mantenimiento 00001101-036 SA de CV,2021-01-15,"Av. Industria 136, Monterrey, Nuevo Leon",646180000113027911,Mantenimiento,contacto00001101-036@proveedor.example.mx
YNY920703CHK,Servicios Mantenimiento 00001101-031 SA de CV,2021-05-15,"Av. Industria 131, Monterrey, Nuevo Leon",646180000112631968,Mantenimiento,contacto00001101-031@proveedor.example.mx
YOE980117CKK,Servicios Consultoria 00001101-037 SA de CV,2022-02-15,"Av. Industria 137, Monterrey, Nuevo Leon",646180000113107103,Consultoria,contacto00001101-037@proveedor.example.mx
YNT870424CEX,Servicios Mantenimiento 00001101-026 SA de CV,2021-09-15,"Av. Industria 126, Monterrey, Nuevo Leon",646180000112236017,Mantenimiento,contacto00001101-026@proveedor.example.mx
YOH711010CLX,Servicios Tecnologia 00001101-040 SA de CV,2020-05-15,"Av. Industria 140, Monterrey, Nuevo Leon",646180000113344678,Tecnologia,contacto00001101-040@proveedor.example.mx
YNZ931010CHX,Servicios Consultoria 00001101-032 SA de CV,2022-06-15,"Av. Industria 132, Monterrey, Nuevo Leon",646180000112711150,Consultoria,contacto00001101-032@proveedor.example.mx
YND710424BWX,Servicios Tecnologia 00001101-010 SA de CV,2020-02-15,"Av. Industria 110, Monterrey, Nuevo Leon",646180000110968976,Tecnologia,contacto00001101-010@proveedor.example.mx
YOO780703CPK,Servicios Consultoria 00001101-047 SA de CV,2022-03-15,"Av. Industria 147, Monterrey, Nuevo Leon",646180000113899000,Consultoria,contacto00001101-047@proveedor.example.mx
YOQ800117CQK,Servicios Insumos 00001101-049 SA de CV,2024-05-15,"Av. Industria 149, Monterrey, Nuevo Leon",646180000114057388,Insumos,contacto00001101-049@proveedor.example.mx
YNE720703BXK,Servicios Mantenimiento 00001101-011 SA de CV,2021-03-15,"Av. Industria 111, Monterrey, Nuevo Leon",646180000111048167,Mantenimiento,contacto00001101-011@proveedor.example.mx
YNG740117BYK,Servicios Logistica 00001101-013 SA de CV,2023-05-15,"Av. Industria 113, Monterrey, Nuevo Leon",646180000111206543,Logistica,contacto00001101-013@proveedor.example.mx
YMW940703BTK,Servicios Logistica 00001101-003 SA de CV,2023-04-15,"Av. Industria 103, Monterrey, Nuevo Leon",646180000110414640,Logistica,contacto00001101-003@proveedor.example.mx
YNF731010BXX,Servicios Consultoria 00001101-012 SA de CV,2022-04-15,"Av. Industria 112, Monterrey, Nuevo Leon",646180000111127350,Consultoria,contacto00001101-012@proveedor.example.mx
